tenure,MonthlyCharges,Contract,OnlineSecurity,PaymentMethod,CLV
1,29.85,0,0,2,29.85
34,56.95,1,2,3,1936.3000000000002
2,53.85,0,2,3,107.7
45,42.3,1,2,0,1903.4999999999998
2,70.7,0,0,2,141.4
8,99.65,0,0,2,797.2
22,89.1,0,0,1,1960.1999999999998
10,29.75,0,2,3,297.5
28,104.8,0,0,2,2934.4
62,56.15,1,2,0,3481.2999999999997
13,49.95,0,2,3,649.35
16,18.95,2,1,1,303.2
58,100.35,1,0,1,5820.299999999999
49,103.7,0,0,0,5081.3
25,105.5,0,2,2,2637.5
69,113.25,2,2,1,7814.25
52,20.65,1,1,3,1073.8
71,106.7,2,2,0,7575.7
10,55.2,0,0,1,552.0
21,90.05,0,0,2,1891.05
1,39.65,0,0,2,39.65
12,19.8,1,1,0,237.60000000000002
1,20.15,0,1,3,20.15
58,59.9,2,0,1,3474.2
49,59.6,0,2,1,2920.4
30,55.3,0,2,0,1659.0
47,99.35,0,0,2,4669.45
1,30.2,0,0,2,30.2
72,90.25,2,2,1,6498.0
17,64.7,0,0,3,1099.9
71,96.35,2,2,1,6840.849999999999
2,95.5,0,0,1,191.0
27,66.15,1,2,3,1786.0500000000002
1,20.2,0,1,0,20.2
1,45.25,0,0,0,45.25
72,99.9,2,2,0,7192.8
5,69.7,0,0,2,348.5
46,74.8,0,0,1,3440.7999999999997
34,106.35,0,0,2,3615.8999999999996
11,97.85,0,0,0,1076.35
10,49.55,1,0,3,495.5
70,69.2,2,2,1,4844.0
17,20.75,1,1,3,352.75
63,79.85,2,2,1,5030.549999999999
13,76.2,0,2,2,990.6
49,84.5,0,0,2,4140.5
2,49.25,0,0,3,98.5
2,80.65,0,0,2,161.3
52,79.75,2,2,1,4147.0
69,64.15,2,2,1,4426.35
43,90.25,0,0,2,3880.75
15,99.1,0,2,1,1486.5
25,69.5,0,2,1,1737.5
8,80.65,0,0,1,645.2
60,74.85,1,2,1,4491.0
18,95.45,0,0,2,1718.1000000000001
63,99.65,1,2,1,6277.950000000001
66,108.45,1,0,2,7157.7
34,24.95,2,1,1,848.3
72,107.5,2,0,1,7740.0
47,100.5,0,0,2,4723.5
60,89.9,0,0,0,5394.0
72,42.1,2,2,0,3031.2000000000003
18,54.4,1,0,1,979.1999999999999
9,94.4,0,0,2,849.6
3,75.3,0,0,2,225.89999999999998
47,78.9,1,0,2,3708.3
31,79.2,2,0,3,2455.2000000000003
50,20.15,2,1,0,1007.4999999999999
10,79.85,0,2,3,798.5
1,49.05,0,0,3,49.05
52,20.4,1,1,2,1060.8
64,111.6,2,2,0,7142.4
62,24.25,2,1,0,1503.5
3,64.5,0,2,0,193.5
56,110.5,1,2,2,6188.0
46,55.65,1,0,1,2559.9
8,54.65,0,2,3,437.2
30,74.75,0,2,2,2242.5
45,25.9,1,1,1,1165.5
1,79.35,0,0,2,79.35
11,50.55,0,2,2,556.05
7,75.15,0,0,0,526.0500000000001
42,103.8,0,0,0,4359.599999999999
49,20.15,2,1,0,987.3499999999999
9,99.3,0,0,1,893.6999999999999
35,62.15,1,2,0,2175.25
48,20.65,2,1,0,991.1999999999999
46,19.95,2,1,3,917.6999999999999
29,33.75,0,0,3,978.75
30,82.05,0,0,0,2461.5
1,74.7,0,0,2,74.7
66,84.0,2,2,3,5544.0
65,111.05,0,2,1,7218.25
72,100.9,2,0,0,7264.8
12,78.95,0,2,2,947.4000000000001
71,66.85,1,2,1,4746.349999999999
5,21.05,0,1,3,105.25
52,21.0,2,1,0,1092.0
25,98.5,0,0,2,2462.5
1,20.2,0,1,3,20.2
1,19.45,0,1,2,19.45
38,95.0,1,0,0,3610.0
66,45.55,1,0,0,3006.2999999999997
68,110.0,2,0,0,7480.0
5,24.3,0,0,3,121.5
72,104.15,1,2,2,7498.8
32,30.15,1,2,3,964.8
43,94.35,1,0,3,4057.0499999999997
72,19.4,2,1,1,1396.8
55,96.75,0,2,2,5321.25
52,57.95,1,2,1,3013.4
43,91.65,0,0,2,3940.9500000000003
37,76.5,0,0,2,2830.5
64,54.6,2,0,2,3494.4
3,89.85,0,2,2,269.54999999999995
36,31.05,2,2,0,1117.8
10,100.25,0,2,2,1002.5
41,20.65,2,1,3,846.65
27,85.2,0,0,1,2300.4
56,99.8,1,0,1,5588.8
6,20.7,0,1,3,124.19999999999999
3,74.4,0,0,2,223.20000000000002
7,50.7,0,2,3,354.90000000000003
4,20.85,0,1,3,83.4
33,88.95,2,2,2,2935.35
27,78.05,0,0,2,2107.35
72,23.55,2,1,0,1695.6000000000001
1,19.75,0,1,3,19.75
71,56.45,1,2,2,4007.9500000000003
13,85.95,0,0,2,1117.3500000000001
25,58.6,0,2,1,1465.0
67,50.55,2,0,0,3386.85
1,35.45,0,0,2,35.45
2,44.35,0,0,2,88.7
43,25.7,2,1,1,1105.1
23,75.0,0,2,0,1725.0
64,20.2,2,1,3,1292.8
57,19.6,2,1,3,1117.2
1,70.45,0,0,3,70.45
72,88.05,2,2,1,6339.599999999999
8,71.15,0,2,2,569.2
61,101.05,2,0,0,6164.05
64,84.3,1,2,1,5395.2
71,23.95,2,1,0,1700.45
65,99.05,2,2,1,6438.25
3,19.6,1,1,3,58.800000000000004
1,45.65,0,0,2,45.65
30,64.5,1,0,1,1935.0
15,69.5,0,0,3,1042.5
8,68.55,0,0,2,548.4
7,95.0,0,0,3,665.0
70,108.15,1,2,1,7570.5
62,86.1,2,2,2,5338.2
6,19.7,0,1,3,118.19999999999999
14,80.9,0,0,0,1132.6000000000001
22,84.15,0,0,0,1851.3000000000002
22,20.15,1,1,3,443.29999999999995
16,64.25,2,2,3,1028.0
10,25.7,2,1,0,257.0
13,56.0,0,2,2,728.0
20,82.4,0,2,2,1648.0
2,69.7,0,0,2,139.4
53,73.9,2,0,0,3916.7000000000003
11,20.6,1,1,3,226.60000000000002
69,19.9,2,1,3,1373.1
4,70.9,0,0,0,283.6
72,89.05,2,2,0,6411.599999999999
58,45.3,0,0,2,2627.3999999999996
16,20.4,0,1,2,326.4
43,84.25,1,2,0,3622.75
2,104.4,0,0,2,208.8
14,81.95,2,0,3,1147.3
53,94.85,1,0,0,5027.049999999999
32,20.55,1,1,0,657.6
34,24.7,0,1,2,839.8
15,74.45,0,0,3,1116.75
7,76.45,0,2,0,535.15
15,105.35,0,0,0,1580.25
61,20.55,1,1,1,1253.55
1,29.95,0,0,0,29.95
1,45.3,0,0,3,45.3
8,84.5,0,0,0,676.0
33,74.75,1,2,1,2466.75
13,79.25,0,0,2,1030.25
1,24.8,0,0,2,24.8
20,51.8,0,0,3,1036.0
3,30.4,0,0,2,91.19999999999999
13,19.65,1,1,2,255.45
40,56.6,0,0,1,2264.0
43,71.9,1,2,1,3091.7000000000003
6,91.0,0,0,2,546.0
69,19.75,2,1,0,1362.75
72,109.7,2,2,1,7898.400000000001
59,19.3,2,1,1,1138.7
20,96.55,0,2,2,1931.0
24,24.1,2,1,0,578.4000000000001
59,111.35,0,0,2,6569.65
72,112.25,2,0,0,8082.0
1,20.75,0,1,3,20.75
27,101.9,1,2,1,2751.3
14,80.05,0,0,1,1120.7
71,105.55,2,2,2,7494.05
13,78.3,0,0,1,1017.9
44,68.85,0,0,1,3029.3999999999996
33,79.95,1,0,0,2638.35
72,55.45,2,2,1,3992.4
1,79.9,0,0,2,79.9
19,106.6,0,2,2,2025.3999999999999
64,102.45,1,0,1,6556.8
2,46.0,0,0,1,92.0
1,25.25,0,0,2,25.25
61,19.75,2,1,3,1204.75
29,20.0,1,1,2,580.0
23,86.8,0,0,2,1996.3999999999999
57,58.75,0,2,0,3348.75
72,45.25,2,2,1,3258.0
66,56.6,2,2,0,3735.6
65,84.2,2,0,0,5473.0
8,80.0,0,0,0,640.0
4,70.15,0,0,2,280.6
71,24.75,2,1,0,1757.25
1,20.2,1,1,2,20.2
4,50.05,0,0,3,200.2
12,19.35,1,1,0,232.20000000000002
24,50.6,1,2,3,1214.4
31,81.15,1,2,3,2515.65
1,55.2,0,0,3,55.2
30,89.9,0,0,1,2697.0
47,85.3,2,2,1,4009.1
54,108.0,2,2,1,5832.0
50,93.5,0,2,1,4675.0
1,84.6,0,2,3,84.6
72,20.25,2,1,1,1458.0
29,25.15,0,1,2,729.3499999999999
2,54.4,0,0,3,108.8
10,29.6,2,0,3,296.0
18,73.15,0,0,2,1316.7
11,95.0,0,0,2,1045.0
16,19.75,2,1,3,316.0
72,86.6,2,0,0,6235.2
72,109.2,2,0,0,7862.400000000001
41,74.7,1,2,1,3062.7000000000003
65,94.4,0,2,2,6136.0
13,54.8,0,0,2,712.4
4,75.35,0,2,2,301.4
41,65.0,1,0,3,2665.0
15,74.4,0,0,2,1116.0
1,48.55,0,2,3,48.55
42,99.0,1,2,2,4158.0
51,93.5,1,2,2,4768.5
2,70.4,0,0,2,140.8
